register,mean_pred_prob,frac_positive,brier_score
academic,0.010263397947548531,0.007297605473204105,0.04020381352300968
academic,0.14868878357030033,0.12480252764612954,0.04020381352300968
academic,0.25263610315186225,0.2664756446991404,0.04020381352300968
academic,0.34917355371900816,0.32644628099173556,0.04020381352300968
academic,0.45289156626506005,0.5301204819277109,0.04020381352300968
academic,0.5484153005464484,0.5846994535519126,0.04020381352300968
academic,0.6567512690355337,0.6903553299492385,0.04020381352300968
academic,0.7575117370892022,0.7793427230046949,0.04020381352300968
academic,0.8571379310344834,0.8620689655172413,0.04020381352300968
academic,0.9626357827476073,0.9696485623003195,0.04020381352300968
news,0.01874135944700493,0.007632488479262673,0.059228710000000004
news,0.1507667031763421,0.07886089813800658,0.059228710000000004
news,0.25307448494453266,0.1473851030110935,0.059228710000000004
news,0.35379816513761514,0.24220183486238533,0.059228710000000004
news,0.45459219858155886,0.41843971631205673,0.059228710000000004
news,0.5566408668730638,0.5386996904024768,0.059228710000000004
news,0.6569451371571078,0.7007481296758105,0.059228710000000004
news,0.7574358974358958,0.8122710622710623,0.059228710000000004
news,0.8599150485436866,0.9138349514563107,0.059228710000000004
news,0.9772695092517767,0.983266291230893,0.059228710000000004
social,0.05268490092101628,0.042701646664806026,0.10283647500000002
social,0.15169550173010424,0.104959630911188,0.10283647500000002
social,0.25110289937464564,0.19442865264354747,0.10283647500000002
social,0.3526749271137006,0.28061224489795916,0.10283647500000002
social,0.45406574394463983,0.41522491349480967,0.10283647500000002
social,0.5537657308809258,0.5382381413359149,0.10283647500000002
social,0.6552400000000002,0.697,0.10283647500000002
social,0.7559284497444616,0.8398637137989778,0.10283647500000002
social,0.8571081081081047,0.9182432432432432,0.10283647500000002
social,0.9769186286658118,0.9849235852953325,0.10283647500000002
creative,0.019910301331464885,0.013875262789067975,0.059975074999999996
creative,0.1492950108459874,0.09761388286334056,0.059975074999999996
creative,0.25510431154381114,0.21696801112656466,0.059975074999999996
creative,0.35233856893542825,0.2617801047120419,0.059975074999999996
creative,0.45470103092783415,0.44948453608247424,0.059975074999999996
creative,0.5580782312925165,0.5697278911564626,0.059975074999999996
creative,0.6582295988934991,0.6998616874135546,0.059975074999999996
creative,0.7575081256771381,0.8201516793066089,0.059975074999999996
creative,0.8591378184193326,0.9039843239712606,0.059975074999999996
creative,0.973165130448318,0.9850023433838463,0.059975074999999996
all,0.030559983059980235,0.01824901824901825,0.0944706963474513
all,0.14927692639758247,0.09345996114828405,0.0944706963474513
all,0.2510215300045795,0.1812490456558253,0.0944706963474513
all,0.3505679124886063,0.3082953509571559,0.0944706963474513
all,0.45139500423369483,0.44242167654530057,0.0944706963474513
all,0.5524812756704536,0.5764677458323266,0.0944706963474513
all,0.6525480769230805,0.7168522267206477,0.0944706963474513
all,0.7533184357541937,0.8196648044692737,0.0944706963474513
all,0.8542898813116044,0.9126936230134782,0.0944706963474513
all,0.9702443547057834,0.9837646283171254,0.0944706963474513
