feature_set,n_features,auc_mean,auc_std,accuracy_mean,f1_mean
11-feature,11,0.9644929165491598,0.0004082642309220112,0.9011003002092484,0.8710311589971436
31-feature,31,0.9825501400372574,0.0004576376915925772,0.9360782464359128,0.9167671041193939
