attack_type,n_ai_texts,n_human_texts,auc,accuracy,f1,detection_rate_at_clean_90_recall,clean_threshold_90
homoglyph,500,993,0.18347633434038266,0.6537173476222371,0.0,,
insert_paragraphs,500,993,0.9585055387713998,0.9457468184862693,0.9150052465897167,,
number,500,993,0.9585478348439074,0.9464166108506363,0.9161425576519916,,
paraphrase,500,993,0.9505871097683786,0.9129269926322839,0.8561946902654868,,
perplexity_misspelling,500,993,0.9584400805639477,0.9464166108506363,0.9161425576519916,,
synonym,500,993,0.9643877139979858,0.9524447421299397,0.9262720664589823,,
upper_lower,500,993,0.959455186304129,0.9464166108506363,0.9161425576519916,,
whitespace,500,993,0.9592084592145016,0.9470864032150034,0.9172774869109948,,
