register,n_texts,n_human,n_ai,auc_mean,auc_sd,acc_mean,acc_sd,prec_mean,rec_mean,f1_mean,baseline_acc
academic,58343,50000,8343,0.9782817559625159,0.0015881524743271314,0.9474658880849326,0.0022272327714682617,0.8529816791495686,0.764474771291415,0.8061858354238518,0.8570008413714681
news,100000,50000,50000,0.976611785,0.00112015167177037,0.92211,0.002341666073546791,0.9085420976287313,0.9387399999999999,0.9233879107940386,0.5
social,100000,50000,50000,0.933322005,0.0015859382515659448,0.8609199999999999,0.002127110716441459,0.8788354211978133,0.83728,0.85754656561221,0.5
creative,100000,50000,50000,0.973160071,0.0006628338009063628,0.91737,0.002328218202832346,0.9112600611358138,0.9248,0.9179773416186725,0.5
all,408343,250000,158343,0.940698611994548,0.0006491217329528805,0.869648796493849,0.0011512109857729606,0.8552320939526661,0.7991196261069661,0.8262227999499485,0.6122304043634784
