register,feature,importance_mean,importance_std
academic,sent_cv,0.011997713407121968,0.0005275490064131391
academic,punct_entropy,0.0020872941067841657,0.00010944215699637926
academic,opener_ratio,0.0010493012871423124,5.5058652795201094e-05
academic,adverb_density,0.0010017849741592144,0.0001252018461567567
academic,quote_density,0.0005913083533782615,8.875352778965779e-05
academic,capitalized_entity_density,0.0005738269150864728,6.263534435057828e-05
academic,mean_sent_len,0.0005311867302915773,6.096583836653395e-05
academic,self_mention_density,0.000508362300474352,2.553377373487847e-05
academic,number_density,0.00040949102040253036,7.145975076312029e-05
academic,positive_density,0.0003871853276265824,6.118247766530419e-05
academic,passive_density,0.0002890921531167212,3.876899195595935e-05
academic,nominalization_density,0.00022570248666984317,5.585196218979349e-05
academic,acronym_density,0.00021288968174970613,2.995202230535428e-05
academic,char_entropy,0.00017040511806722946,5.856102389870977e-05
academic,hedge_density,0.00016532149506254257,2.5453343556875936e-05
academic,smog_index,0.0001539092801538633,3.622575160337427e-05
academic,connector_density,0.00015333866940840933,5.444253369077328e-05
academic,flesch_kincaid_grade,0.00012107322543957189,5.5428794500654094e-05
academic,subordination_density,9.674445820260225e-05,7.08021905437142e-05
academic,mtld,8.989712925742133e-05,2.6467080196144775e-05
academic,sentiment_polarity,7.936676731901127e-05,2.7940623614926503e-05
academic,boost_density,5.820229603392679e-05,8.846862155929085e-06
academic,url_email_density,5.799480121744249e-05,5.285637730478118e-05
academic,adjective_density,4.4974501480821163e-05,5.240132571584791e-05
academic,preposition_density,3.662283511587372e-05,7.629304644289855e-05
academic,rep_rate,3.117609618223938e-05,3.36849318058748e-05
academic,negative_density,2.6663083922895402e-05,2.3279679329652628e-06
academic,gunning_fog,2.4380640941212838e-05,5.7595465033997035e-05
academic,question_density,1.5302742718392715e-05,7.323200251304769e-06
academic,exclamation_density,5.18737041432793e-07,8.036239687970518e-07
academic,flesch_reading_ease,-3.0501738028365643e-05,2.9797187630448928e-05
news,char_entropy,0.01340348777706497,0.0008335790089351133
news,rep_rate,0.006509829032402115,0.0006726182103574191
news,sent_cv,0.0021202022201067816,0.0004406901821444212
news,quote_density,0.001937352958617211,0.00019950028866160146
news,mtld,0.0014163313942152644,0.00014361295949243317
news,capitalized_entity_density,0.0010682027989383335,0.00012555329041435533
news,opener_ratio,0.0010139800498351725,8.657427512048838e-05
news,positive_density,0.00033951445016742186,2.0713345589003984e-05
news,mean_sent_len,0.00028582855996632793,0.00019341960781091953
news,passive_density,0.00025342180442671224,0.00015834844504767468
news,flesch_reading_ease,0.00021642734554261356,0.0001598798427709986
news,self_mention_density,0.00020000434367655194,0.00014345736914344524
news,flesch_kincaid_grade,0.0001776270885336162,0.00017882288632564428
news,connector_density,0.000167426769395429,7.101788734442855e-05
news,smog_index,0.00015556706819646048,0.00014920392427328395
news,preposition_density,0.0001383875833321113,0.0002025204261246709
news,punct_entropy,0.00012247703769070474,0.0002027925976040229
news,gunning_fog,0.00011322842296968005,0.00017952623671681518
news,acronym_density,0.00010129551373858626,1.9095527731787455e-05
news,question_density,9.543887117118288e-05,1.695475123649296e-05
news,nominalization_density,8.475049848568616e-05,8.029436134831618e-05
news,hedge_density,7.523345431370565e-05,2.6752458311712983e-05
news,adverb_density,7.445256863800598e-05,3.0286701516075106e-05
news,subordination_density,5.878604977023194e-05,0.00011689530460466197
news,sentiment_polarity,4.997668324178139e-05,4.685457671639738e-05
news,exclamation_density,2.9136796772744056e-05,2.0855368131887717e-06
news,number_density,2.828270306507452e-05,0.00010914724277745679
news,url_email_density,1.4470787676934549e-05,1.6917234183588888e-06
news,negative_density,9.858681655083856e-06,1.0152921532639443e-05
news,boost_density,-4.1484551522863454e-07,4.549915677356144e-05
news,adjective_density,-4.802446905267654e-05,4.538278696751285e-05
social,mtld,0.0326310944391935,0.0038328966769708263
social,sent_cv,0.02891981849598304,0.0004941278631653758
social,rep_rate,0.021644120195337256,0.0026242507253424925
social,question_density,0.01627527247755205,0.0007416465313963899
social,char_entropy,0.014471062490154462,0.0004783153239111805
social,quote_density,0.010172218366020868,0.000992902102317949
social,self_mention_density,0.009913955428875364,0.0011753907616233656
social,capitalized_entity_density,0.008408713866572225,0.0005103012634637366
social,punct_entropy,0.006824861176748631,0.0007030192252824757
social,mean_sent_len,0.0057528576913989495,0.0004296772363558303
social,smog_index,0.005319373473928901,0.0009437230338331127
social,nominalization_density,0.004388593110034722,0.0006877973045872719
social,subordination_density,0.004120699925173299,0.00020872950290379445
social,preposition_density,0.0037915792867833755,0.00023299985560689844
social,positive_density,0.0030831868797259964,0.00016678135567923461
social,opener_ratio,0.0028380309250945813,0.00022727555332262793
social,exclamation_density,0.002642318446755021,0.0003273364218536546
social,adverb_density,0.0026069049799149814,0.0006424383629381144
social,number_density,0.002350949610113573,0.00024064555168831664
social,passive_density,0.0023256586720227903,0.0001472019329268738
social,flesch_reading_ease,0.0021654211956522395,0.0005973760726184312
social,hedge_density,0.002004999113894246,0.00027945254991690603
social,connector_density,0.0015933906348457594,0.00036632489062363616
social,gunning_fog,0.0012533475110271697,0.00027092631228678503
social,adjective_density,0.0010695420801828392,0.00023003430106131412
social,flesch_kincaid_grade,0.0008490001772212929,0.00013722742194421123
social,acronym_density,0.0008080793163202094,9.025561105344662e-05
social,negative_density,0.0006737788968966818,0.00012150205918578619
social,boost_density,0.0006505493856333811,5.2250119184256475e-05
social,sentiment_polarity,0.0005152028690139865,8.717081472047044e-05
social,url_email_density,0.0002515863756302306,4.7173168764185295e-05
creative,sent_cv,0.03544220763377115,0.0019097356826053024
creative,mtld,0.026106205712489984,0.0018563363100706244
creative,char_entropy,0.016179224614881527,0.0012382933484679486
