register,mean_pred_prob,frac_positive,brier_score
academic,0.02101185050136734,0.010027347310847767,0.07046305064429127
academic,0.15172588832487308,0.1065989847715736,0.07046305064429127
academic,0.24911111111111112,0.2074074074074074,0.07046305064429127
academic,0.357560975609756,0.37398373983739835,0.07046305064429127
academic,0.4493636363636363,0.42727272727272725,0.07046305064429127
academic,0.557033898305085,0.652542372881356,0.07046305064429127
academic,0.6590000000000001,0.7285714285714285,0.07046305064429127
academic,0.7595808383233534,0.7844311377245509,0.07046305064429127
academic,0.8598134328358218,0.917910447761194,0.07046305064429127
academic,0.9753869653767873,0.9765784114052953,0.07046305064429127
news,0.016093843514342773,0.005426325659338467,0.0606004304047384
news,0.15166801183750334,0.06833467850417003,0.0606004304047384
news,0.2543538625845492,0.1687433250266999,0.0606004304047384
news,0.3547995328921779,0.25963409887115607,0.0606004304047384
news,0.4560765747221155,0.3976945244956772,0.0606004304047384
news,0.5552972358954772,0.5160923892464976,0.0606004304047384
news,0.6570264695771939,0.640770024063252,0.0606004304047384
news,0.7572600834492386,0.7874826147426982,0.0606004304047384
news,0.8589690332326355,0.898036253776435,0.0606004304047384
news,0.9797422535775839,0.9891369703771996,0.0606004304047384
social,0.04748228735141609,0.025242943977699484,0.07750684701645248
social,0.15124068268897312,0.07927551375827238,0.07750684701645248
social,0.252034148397977,0.14839797639123103,0.07750684701645248
social,0.35303196211896104,0.232909144717372,0.07750684701645248
social,0.45330031186938996,0.3370023848835076,0.07750684701645248
social,0.5546375243453714,0.48863882276563514,0.07750684701645248
social,0.6558589714799069,0.6514709184819223,0.07750684701645248
social,0.7562772680937878,0.7840978593272171,0.07750684701645248
social,0.8602690519791524,0.9178757571488942,0.07750684701645248
social,0.9781655657851709,0.9934712198107674,0.07750684701645248
creative,0.021025986669661736,0.01640080880700966,0.05643196173412762
creative,0.14943609022556376,0.09398496240601503,0.05643196173412762
creative,0.2544124700239814,0.21183053557154277,0.05643196173412762
creative,0.35372529644268663,0.2845849802371542,0.05643196173412762
creative,0.45337807606264174,0.3982102908277405,0.05643196173412762
creative,0.5555276381909532,0.5608040201005026,0.05643196173412762
creative,0.6552893890675222,0.7001607717041801,0.05643196173412762
creative,0.7585651353052193,0.803650094398993,0.05643196173412762
creative,0.8607792207792155,0.9136992040217846,0.05643196173412762
creative,0.9782931352869594,0.9900441589723002,0.05643196173412762
all,0.03717109952358338,0.017143714596541248,0.07964440533004595
all,0.14862335963261714,0.07465256918579039,0.07964440533004595
all,0.24957729118329755,0.14953596287703017,0.07964440533004595
all,0.350522568511549,0.2535503185691257,0.07964440533004595
all,0.45191742398966833,0.37645959831854275,0.07964440533004595
all,0.5520786941580945,0.5235051546391752,0.07964440533004595
all,0.6534422199695801,0.6528129751647238,0.07964440533004595
all,0.7542823605488138,0.7990047233468286,0.07964440533004595
all,0.8577522597197395,0.9125518058022498,0.07964440533004595
all,0.9744781272902822,0.9888945261852415,0.07964440533004595
