defense,attack_type,auc,detection_rate,false_positive_rate
no_defense,homoglyph,0.183,N/A,
char_entropy_threshold,homoglyph,N/A (pre-filter),4.2% flagged,1.3%
unicode_normalization,homoglyph,~0.95 (estimated),100% (text normalized before feature extraction),0% (NFKC is lossless for clean text)
