register,feature,feature_label,human_mean,human_sd,ai_mean,ai_sd,cohens_d,mwu_pval,n_human,n_ai
academic,mtld,Lexical Diversity (MTLD),73.26864854320469,23.494553689298908,72.08570954489848,18.1046647232884,-0.05051879716520158,0.4873383651559705,498065,8343
academic,sent_cv,Sentence Length CV,0.24526953707974342,0.3113096574845587,0.24815833635791534,0.0700806314963906,0.009352923586611014,2.1998450904255427e-103,498065,8343
academic,self_mention_density,Self-Mention Density,11.09138697391848,11.773226523273749,28.21421783186852,16.509100874805796,1.4429480075066667,0.0,498065,8343
academic,opener_ratio,Sentence-Opener Connector Ratio,0.020969905526632696,0.0626386052165138,0.13143690236484887,0.11506430407228578,1.73005133080852,0.0,498065,8343
academic,connector_density,Connector Density,6.353673928320665,5.558359178529169,9.79058033846494,6.476489212543567,0.6165176840305772,0.0,498065,8343
academic,hedge_density,Hedge Density,6.94377585573699,6.8934376591278,7.464868509467508,7.608821264391837,0.07545700085311216,0.004871433833501073,498065,8343
academic,mean_sent_len,Mean Sentence Length,250.26243797286435,265.5107366926127,23.42502763917187,3.1766099307162086,-0.8614675391706206,0.0,498065,8343
academic,boost_density,Booster Density,1.652224453458166,3.0269472431981805,3.4440393684688444,4.270629957783814,0.5871832026067366,0.0,498065,8343
academic,char_entropy,Char N-gram Entropy,9.00408850778546,0.44110757683393526,8.743843722445835,0.2276365936731238,-0.5935781962525293,0.0,498065,8343
academic,rep_rate,Word Repetition Rate,0.46608062092061575,0.13459060438160442,0.4376328071981326,0.10853348762561957,-0.21197700413065354,2.745759976896286e-141,498065,8343
academic,punct_entropy,Punctuation Entropy,2.133750496766994,0.4787008276403342,1.6440332114486829,0.3697302432930642,-1.0264298205664282,0.0,498065,8343
news,mtld,Lexical Diversity (MTLD),106.13424332624649,45.39137175987101,146.57851134070833,558.5306962854835,0.09846031738191198,0.0,346636,403371
news,sent_cv,Sentence Length CV,0.5802091993869191,0.21333725250292396,0.3659398202792718,0.2500158851872782,-0.9165421100818995,0.0,346636,403371
news,self_mention_density,Self-Mention Density,9.060511493117598,15.755807962034545,18.984778526150524,26.84121444206222,0.4428498030026662,0.0,346636,403371
news,opener_ratio,Sentence-Opener Connector Ratio,0.006466816069721832,0.026035340993169603,0.033673860401533195,0.062389033606978936,0.5545879483677926,0.0,346636,403371
news,connector_density,Connector Density,1.7116473841191566,3.1453043298093517,5.262343191024309,6.077230752928092,0.7182940621925179,0.0,346636,403371
news,hedge_density,Hedge Density,2.97600282847351,5.30173721654914,6.578865044825431,7.843080236312261,0.5307824796150846,0.0,346636,403371
news,mean_sent_len,Mean Sentence Length,24.328767426520525,29.147434940159947,209.129334123943,500.703206492573,0.5025413113814376,0.0,346636,403371
news,boost_density,Booster Density,0.6391778460152223,1.8352602377777232,1.2091501297245095,2.9975372327893632,0.2254923914140651,0.0,346636,403371
news,char_entropy,Char N-gram Entropy,9.210790978064475,0.46562363530474465,8.684964305383724,0.9313839811134259,-0.6984678480275881,0.0,346636,403371
news,rep_rate,Word Repetition Rate,0.4432769821775207,0.12684974569951832,0.36108065854652655,0.2381758713521148,-0.4219564156857572,0.0,346636,403371
news,punct_entropy,Punctuation Entropy,1.807657723020548,0.42204145136717297,1.9132533002705399,0.4527294465874279,0.2406391397993536,0.0,346636,403371
social,mtld,Lexical Diversity (MTLD),95.77589227005771,28.06305895160647,146.99842059129156,593.9983238742823,0.11819849106509567,0.0,407923,462254
social,sent_cv,Sentence Length CV,0.6073510226698122,0.2462431791436189,0.43235070332526276,0.2863184599522527,-0.6523088109499228,0.0,407923,462254
social,self_mention_density,Self-Mention Density,53.28360474865826,28.4740019625234,70.80428984785422,44.14670262268379,0.46570863724999784,0.0,407923,462254
social,opener_ratio,Sentence-Opener Connector Ratio,0.014603983009344892,0.04792322007090884,0.024340459560492543,0.06448727460772473,0.16985744366389682,0.0,407923,462254
social,connector_density,Connector Density,3.456180389048802,5.575727451459887,4.02844453825795,7.487393631885104,0.08592661639262995,3.80574376508939e-289,407923,462254
social,hedge_density,Hedge Density,7.051091547475546,7.98896099615792,10.805654273904041,12.053915841691785,0.36279158102185316,0.0,407923,462254
social,mean_sent_len,Mean Sentence Length,26.760271795288013,102.05762717846662,142.52004099177552,362.8094260594877,0.42323881514496414,0.0,407923,462254
social,boost_density,Booster Density,4.439766940102209,7.139754620938752,2.969560215440956,8.170253990793553,-0.19082797840340263,0.0,407923,462254
social,char_entropy,Char N-gram Entropy,8.496259749539973,0.5275816830630038,8.241390064420314,1.0279652785625562,-0.30642163272215067,1.20570332524609e-140,407923,462254
social,rep_rate,Word Repetition Rate,0.24294300646655353,0.11908489639252225,0.29613292576197126,0.2536647873173547,0.26323393767947506,0.0,407923,462254
social,punct_entropy,Punctuation Entropy,1.777849010291854,0.566262065395373,1.8617554762814075,0.5789996003742398,0.1464173378150032,0.0,407923,462254
