tpr_at_fpr_0.0001,threshold_at_fpr_0.0001,tpr_at_fpr_0.001,threshold_at_fpr_0.001,tpr_at_fpr_0.005,threshold_at_fpr_0.005,tpr_at_fpr_0.01,threshold_at_fpr_0.01,tpr_at_fpr_0.05,threshold_at_fpr_0.05,register,n_texts,n_ai,n_human
0.2509113001215067,0.985,0.5753341433778858,0.915,0.8626974483596598,0.755,0.9908869987849331,0.63,1.0,0.265,academic,100000,1646,98354
0.2338381492149029,1.0,0.41910248072098855,0.98,0.6214809997212674,0.925,0.7147635417634488,0.88,0.9140760011149308,0.63,news,100000,53815,46185
0.16168588140151585,1.0,0.2914746760452126,0.985,0.530796862951609,0.9,0.6210528295499427,0.84,0.8059844652160012,0.635,social,100000,53171,46829
0.14494947630124677,1.0,0.4024787997390737,0.98,0.6388386318600844,0.925,0.7452645571022413,0.865,0.951051705251757,0.47,creative,100000,81249,18751
0.13424057202168146,0.995,0.30487203950472314,0.955,0.47789392017278076,0.865,0.5625019658003166,0.805,0.7789601702645181,0.58,all,200000,95381,104619
