register,feature,feature_label,human_mean,human_sd,ai_mean,ai_sd,cohens_d,mwu_pval,n_human,n_ai
academic,mtld,Lexical Diversity (MTLD),75.75427863624063,25.152523763517422,72.08918158497586,18.102971982871015,-0.16725605626053824,6.175116946641015e-11,8342,8342
academic,sent_cv,Sentence Length CV,0.3236463656399069,0.23910868272705912,0.2481525311348702,0.0700828261892832,-0.4284840521130002,1.3016748066089205e-275,8342,8342
academic,self_mention_density,Self-Mention Density,10.54133093121011,11.687473378915877,28.21260521512975,16.509433328741203,1.235483977875528,0.0,8342,8342
academic,opener_ratio,Sentence-Opener Connector Ratio,0.03725845025348522,0.07739655060362492,0.13142268957443468,0.11506387734682623,0.9603117436520917,0.0,8342,8342
academic,connector_density,Connector Density,6.040457125003615,6.135770114799762,9.78925658480936,6.4757485971524025,0.594288145712602,0.0,8342,8342
academic,hedge_density,Hedge Density,6.913649655094548,7.388368533799066,7.465763363040928,7.608838306940566,0.0736209168132183,7.145425132811392e-07,8342,8342
academic,mean_sent_len,Mean Sentence Length,70.01591037129593,91.04140771917669,23.424958714170568,3.1767941075121557,-0.7232915308392068,0.0,8342,8342
academic,boost_density,Booster Density,1.585506472980479,3.1703486053719176,3.4432035224728956,4.270203435228878,0.49397623744227676,5.489034329715648e-246,8342,8342
academic,char_entropy,Char N-gram Entropy,8.876173178931607,0.30403935174117624,8.743922687196884,0.22753593744401174,-0.49250517135310756,4.960441761204941e-203,8342,8342
academic,rep_rate,Word Repetition Rate,0.43342024712436883,0.12120661357233681,0.43764309021843306,0.10853592898325334,0.036705743189544525,0.001307085547890161,8342,8342
academic,punct_entropy,Punctuation Entropy,2.0384987356794304,0.4472391619231866,1.6441114849024843,0.369683270267468,-0.9612219215050845,0.0,8342,8342
news,mtld,Lexical Diversity (MTLD),108.15492860938656,48.89981923379591,159.41271849508993,593.1701599334814,0.12179370156109653,0.0,189936,189936
news,sent_cv,Sentence Length CV,0.5882970194736022,0.19976270427945153,0.3853808939093816,0.2382902399175734,-0.9228830532119342,0.0,189936,189936
news,self_mention_density,Self-Mention Density,9.060929212764146,15.446546198753806,15.207919210859352,23.256222557067286,0.3113752008990442,0.0,189936,189936
news,opener_ratio,Sentence-Opener Connector Ratio,0.006202045703706085,0.025595113815689477,0.03566733060429942,0.0648755509510219,0.5974908063845438,0.0,189936,189936
news,connector_density,Connector Density,1.700930221029532,3.106763609273016,5.565184460053441,6.108548723521161,0.7974203153333324,0.0,189936,189936
news,hedge_density,Hedge Density,2.7159388996215887,4.855422957930641,7.003054465190433,7.966461585495322,0.6498627436762799,0.0,189936,189936
news,mean_sent_len,Mean Sentence Length,24.253256755027618,29.918283334220952,92.18038837297851,234.2689251465603,0.40675281711334726,0.0,189936,189936
news,boost_density,Booster Density,0.6176525062445861,1.7408865636814799,1.2666399846219911,3.0343429021800072,0.26235990165843137,0.0,189936,189936
news,char_entropy,Char N-gram Entropy,9.282109817312358,0.3100365664660926,8.79213908427035,0.8155441811810046,-0.7941924751631799,0.0,189936,189936
news,rep_rate,Word Repetition Rate,0.45688864396924184,0.110449839312291,0.37227656161391914,0.22354211049369843,-0.47990591384191755,0.0,189936,189936
news,punct_entropy,Punctuation Entropy,1.8194148996020947,0.4063496897978291,1.9014528160790447,0.45778208723505187,0.18953819935118932,0.0,189936,189936
social,mtld,Lexical Diversity (MTLD),96.71895056402222,27.345780338168506,140.36786455617676,431.8823150030552,0.14264422359732715,0.0,305424,305424
social,sent_cv,Sentence Length CV,0.618983420791735,0.23867809032505205,0.4590970020155092,0.25324922805855044,-0.6497558431303538,0.0,305424,305424
social,self_mention_density,Self-Mention Density,53.93450735338574,27.532820514666138,69.4767566313979,44.146620959963215,0.4224607022422597,0.0,305424,305424
social,opener_ratio,Sentence-Opener Connector Ratio,0.015047084621528272,0.04627835763300714,0.028300348591373096,0.07187013744188225,0.21926443884665764,0.0,305424,305424
social,connector_density,Connector Density,3.4947934243813976,5.193676624145614,4.36640833061919,7.195007577658419,0.13891056981848426,3.5040298946184644e-116,305424,305424
social,hedge_density,Hedge Density,7.204809790474187,7.487116374238522,11.826024662799377,11.970577967315633,0.4628723562578446,0.0,305424,305424
social,mean_sent_len,Mean Sentence Length,29.097020942621825,117.51361230680885,59.629293951731164,194.85367509279578,0.1897597064096505,1.3033780521535923e-92,305424,305424
social,boost_density,Booster Density,4.217330799209979,6.46113952052399,3.0307227204092966,7.249986636887743,-0.17280113087463952,0.0,305424,305424
social,char_entropy,Char N-gram Entropy,8.633003800050908,0.5079873131963735,8.328655164095089,0.8157724635927531,-0.44787774669969505,0.0,305424,305424
social,rep_rate,Word Repetition Rate,0.2626766175706943,0.1173281450368749,0.27187610850173355,0.21632588434865807,0.052865931104370184,0.0,305424,305424
social,punct_entropy,Punctuation Entropy,1.8441695567680292,0.5449841977535113,1.8547169555863838,0.5495775062752329,0.019272199837578566,5.843059386320113e-12,305424,305424
creative,mtld,Lexical Diversity (MTLD),87.01367516923429,35.54550736828531,254.02609105855402,1326.607975210414,0.17797758559785204,0.0,92603,92603
creative,sent_cv,Sentence Length CV,0.6110832789211156,0.2596173487437247,0.3979478554619489,0.2440975944918962,-0.8458527362283366,0.0,92603,92603
creative,self_mention_density,Self-Mention Density,49.90103676932857,40.94504184121026,8.65827112071101,19.859497921148897,-1.2816918483571682,0.0,92603,92603
creative,opener_ratio,Sentence-Opener Connector Ratio,0.008246809413703711,0.028105783715829353,0.028686927981939316,0.05691648754685583,0.45538324938586916,0.0,92603,92603
creative,connector_density,Connector Density,1.8337333268624132,3.1663547982262554,4.9816852472249336,7.277571883028197,0.5609333102423513,0.0,92603,92603
creative,hedge_density,Hedge Density,7.856801087838456,6.79830160267015,6.656878538345561,7.581049774488034,-0.166648499709232,0.0,92603,92603
creative,mean_sent_len,Mean Sentence Length,91.28937458755966,589.7547221304989,104.6484807287561,324.7262913130923,0.028062073427550568,0.0,92603,92603
creative,boost_density,Booster Density,2.701866559841967,4.109163305647198,1.4267742519269584,3.2217062292575047,-0.3453480006983186,0.0,92603,92603
creative,char_entropy,Char N-gram Entropy,8.97085257325402,0.5747167041281168,8.722012017522628,0.853128901572944,-0.34211098027500303,0.0,92603,92603
creative,rep_rate,Word Repetition Rate,0.31618540746713636,0.12689368291107828,0.34685387907185683,0.24726189920453198,0.15605752796452738,0.00037199311344462787,92603,92603
creative,punct_entropy,Punctuation Entropy,1.8845912047939406,0.4601019755090718,1.7442867992403503,0.5429509196672329,-0.27880532884014597,0.0,92603,92603
