register,n,auc,fp_rate,fn_rate
academic,101674,0.9996435044692319,0.009953820274078281,0.0
news,661597,0.9994005264984899,0.002111811659944956,0.03774484851912599
social,691315,0.9815288694492371,0.026523388362863356,0.13384140334667202
creative,668029,0.982377723243515,0.05498321789573754,0.0605990338848344
