benchmark,roberta_test_auc,stylometric_test_auc,combined_test_auc,lr_coef_roberta,lr_coef_stylometric,n_samples
MAGE,0.7313769661370284,0.7137692612406419,0.79241274172832,1.795063917179879,2.6133447595743813,2000
HC3,0.9870122072319651,0.7151160910992975,0.9855480783886269,6.521056648144806,0.43285642614871633,2000
TuringBench,0.6622165713074805,0.4599491417673236,0.6797704460042122,1.7562709637034264,-2.815152839286234,2000
