register,n_texts,n_human,n_ai,auc_mean,auc_sd,acc_mean,acc_sd,prec_mean,rec_mean,f1_mean,baseline_acc
academic,16684,8342,8342,0.9665687774275927,0.0019466224317308924,0.9020619404985452,0.004857768115628407,0.8971081718419829,0.9082968735856133,0.9026628715186609,0.4998801318549596
news,379872,189936,189936,0.9768288521631222,0.0003404072209134368,0.9147449661884901,0.0002632104259822018,0.8999383582091482,0.9332564649956628,0.9162944807439437,0.49999736755511676
social,610848,305424,305424,0.9610064041752728,0.0006570502726122105,0.8981776126078309,0.0010761752357870149,0.9033413530369195,0.8917766775988056,0.8975214671010416,0.49999836292349126
creative,185206,92603,92603,0.9778891405660757,0.0005107374428799654,0.9251212120519077,0.0017432521989534913,0.9213104510788662,0.9296458995876842,0.9254587150330282,0.49998920115547635
all,1192610,596305,596305,0.959946962013041,0.00041547005074236515,0.8928635513705234,0.0003286716027401699,0.8929603956331276,0.8927411307971592,0.8928505482123571,0.5
