benchmark,semantic_test_auc,stylometric_test_auc,combined_test_auc,lr_coef_semantic,lr_coef_stylometric,n_samples
MAGE,0.5200787714016548,0.7033724406334481,0.7017976366019498,0.2254361799027621,2.601627900008188,10000
HC3,0.8348705086465189,0.6937198462972137,0.8646810195342912,6.572128975570812,4.054294836776018,10000
TuringBench,0.502373168153543,0.45738786512407853,0.5612783078387532,0.6324165640343267,-2.1977760847158487,10000
